x,y
5.001532,-0.024208
4.980466,0.227592
5.014310,0.421554
4.963949,0.496670
4.938487,0.719706
4.930277,0.828584
4.891541,1.068325
4.972301,1.323533
4.757069,1.386551
4.673816,1.540848
4.704044,1.798161
4.587177,1.870456
4.445809,2.057928
4.423859,2.199883
4.351301,2.379131
4.219884,2.464977
4.321432,2.625245
4.062018,2.929360
4.158812,2.923258
3.886790,3.139480
3.878360,3.209691
3.661607,3.430426
3.572925,3.501003
3.417338,3.574883
3.280648,3.749534
3.168545,3.849572
3.040914,4.037574
2.881709,4.109102
2.729573,4.190939
2.540380,4.300899
2.417890,4.478474
2.344666,4.476338
2.068234,4.479039
2.003678,4.619697
1.803413,4.585427
1.658821,4.755586
1.387938,4.763534
1.285838,4.837947
1.085632,4.872271
0.913845,4.921049
0.825053,4.814872
0.563725,4.975587
0.413730,4.965464
0.133955,5.011478
0.130740,4.923110
-0.089911,4.981802
-0.313476,4.937710
-0.504048,5.041197
-0.634495,5.042380
-0.780223,4.951044
-0.926305,4.918154
-1.145234,4.842321
-1.354943,4.777104
-1.478716,4.701822
-1.657077,4.693969
-1.803494,4.677882
-1.934540,4.607868
-2.265139,4.493213
-2.403346,4.390212
-2.424439,4.362004
