x,y
1.012189,5.009286
0.958401,4.909429
1.030018,4.818271
1.037623,4.749143
0.921959,4.627991
0.947913,4.550966
1.005114,4.431275
0.987350,4.344898
0.999328,4.263347
0.965878,4.084571
1.035176,4.034832
1.031112,3.933566
1.002641,3.831588
1.045090,3.750899
1.018700,3.726464
0.965628,3.536795
1.014750,3.514922
0.961645,3.313638
1.035138,3.272319
0.998003,3.196986
0.992606,3.118687
0.972763,3.028449
1.048902,2.936496
0.993819,2.795575
0.982867,2.695792
0.985915,2.653367
1.021292,2.516157
1.014618,2.377544
1.016509,2.288002
1.017233,2.201317
1.085666,2.162744
0.983743,2.053316
0.979510,1.980000
0.967449,1.840053
1.024639,1.768246
1.045159,1.691690
0.995442,1.559055
0.966394,1.494461
0.967021,1.354475
1.026024,1.271192
1.029730,1.175207
1.021726,1.047405
0.973380,1.019479
0.999800,0.947016
1.016434,0.870202
1.011573,0.913442
1.015446,0.842069
0.978627,0.755256
0.957996,0.736856
0.962737,0.753722
0.888079,0.738770
0.885999,0.749590
0.877966,0.751213
0.876672,0.616684
0.916960,0.526535
0.847896,0.447450
0.850899,0.510708
0.898693,0.435450
0.811988,0.420066
0.834098,0.381696
0.744487,0.370879
0.749754,0.390352
0.695051,0.326109
0.693545,0.286548
0.713785,0.225522
0.583195,0.175041
0.640867,0.198716
0.603330,0.193251
0.539554,0.244478
0.474190,0.158487
0.502885,0.173284
0.446089,0.095913
0.443191,0.051633
0.400766,0.044833
0.429412,0.040117
0.320705,0.141255
0.253815,0.011572
0.265990,0.067614
0.231321,-0.011045
0.240279,0.054696
0.182447,0.026567
0.126239,0.000022
0.133262,0.001166
-0.010159,-0.025492
-0.025590,0.017843
