x,y
0.012189,5.958401
0.135281,6.037623
0.132485,5.947913
0.320903,5.987350
0.420381,5.965878
0.561492,6.031112
0.634220,6.045090
0.755542,5.965628
0.856855,5.961645
0.982506,5.998003
1.045237,5.972763
1.206796,5.993819
1.246025,5.985915
1.389713,6.014618
1.490194,6.017233
1.664613,5.983743
1.663721,5.967449
1.814113,6.045159
1.890179,5.966394
1.967021,6.026024
2.160536,6.017444
2.234432,5.992176
2.394848,5.970318
2.552495,5.940795
2.670035,5.896563
2.776932,5.873011
2.826291,5.780959
2.981185,5.706496
3.100135,5.722737
3.182890,5.625438
3.251377,5.490284
3.420724,5.437662
3.532129,5.350426
3.572758,5.199029
3.697258,5.103488
3.681023,4.954669
3.756967,4.904464
3.853456,4.792986
3.876770,4.649221
3.956875,4.505264
3.979842,4.363704
3.968368,4.245783
3.947884,4.150285
3.981224,4.000500
4.019230,3.807335
4.026615,3.575008
3.983068,3.365232
3.932507,3.100010
3.947092,2.907479
4.015991,2.700623
3.984873,2.578285
3.985749,2.345290
3.962655,2.097046
3.961999,1.881176
4.033612,1.615118
4.017377,1.483194
3.976234,1.205316
4.002885,1.031452
4.009307,0.842979
4.064071,0.622005
3.959060,0.428224
4.008800,0.264894
4.033404,0.014275
4.054250,-0.178357
3.957300,-0.298115
3.945978,-0.445248
3.957258,-0.526527
3.835028,-0.683502
3.860300,-0.731842
3.873615,-0.768023
3.748627,-1.039582
3.577657,-1.100432
3.554189,-1.234137
3.479196,-1.324323
3.456853,-1.407932
3.312346,-1.545106
3.150536,-1.606159
3.108989,-1.592222
3.005211,-1.692741
2.864606,-1.841143
2.726762,-1.876768
2.728018,-1.926716
2.551178,-1.967969
2.427444,-1.946173
2.254787,-1.984520
2.104615,-1.977875
1.981801,-2.049024
1.843619,-1.993096
1.852637,-1.993600
1.679465,-1.988567
1.631187,-1.991225
1.457247,-1.955748
1.385571,-1.938570
1.270487,-2.048979
1.103168,-1.933963
1.121578,-2.007181
0.932041,-1.941542
0.797823,-2.035789
0.762575,-2.015784
0.631374,-2.006538
0.539819,-1.943701
0.424676,-1.974242
0.233783,-2.001949
0.176797,-2.048753
0.070137,-2.013365
0.036636,-2.053056
